firma,street,plz,city,country,country_code,local_number,long_number_flag
"mb druckservice, Inhaber: Marlies Bohn",Kollwitzstraße 91,10435,Berlin-Prenzlauer Berg,DE,49.0,1737247584,No
"Copy Cabana, Inhaber: Gabriele Mayer",Elsenstrasse 107,12435,Berlin,DE,49.0,1790976549,No
baru systems,Warmensteinacher Str. 59,12349,Berlin,DE,49.0,1523009961,Yes
EDV-Service Rauer GmbH & Co. KG,Akazienweg 12,33335,Gütersloh,DE,49.0,1526948595,Yes
ENERGIEBUDE - Marc Mauser,Melchinger Str. 4/1,72820,Sonnenbühl-Willmandingen,DE,49.0,1769668370,Yes
Batteriepower Livio Abbagnale,Weissenbrunnenstrasse 39,8903,Birmensdorf ZH,DE,49.0,1527641135,No
Profientsorger Martin Schmelke,Hauptstrasse 26,21726,Oldendorf,DE,49.0,1703515769,No
Harald Kioschus Nachlasspflege,Hauptstr. 17,79331,Köndringen Teningen,DE,49.0,1791216015,No
Altmetallhandel Gast,Jesauer Feldweg,1917,Kamenz,DE,49.0,17251814520049,Yes
KAREC GmbH & Co.KG,Centraliapark 12,59329,Wadersloh,DE,49.0,1779704646,No
ASP Recyclinghof Blankenburg GmbH,Am Platenberg 13,38889,Blankenburg (Harz),DE,49.0,1721041808,No
"Steindl GmbH, Inh. Franz Daniel Geiger",Gögerlstr. 1,82380,Peißenberg,DE,49.0,1725661598,No
LSM Schrott & Metallhandel,Bahnhofstraße 13c,19258,Boizenburg,DE,49.0,7760163173,No
Gräb Schrotthandel GmbH,Bahnhofstr. 50,57290,Neunkirchen,DE,49.0,1527166391,Yes
Donna Escort,Hohenstaufenring 62,50674,Köln,DE,49.0,1720269504,No
Aura Escort Köln,Hauptstraße,51143,Köln,DE,49.0,1766085531,No
LMC - Eroscenter C33,Calwerstrasse 33,71034,Böblingen,DE,49.0,1787140169,No
Haus 408,Verler Straße 408,33334,Gütersloh,DE,49.0,1746437968,Yes
ENIDVA UG (haftungsbeschränkt),Schelmenwasenstraße 37,70567,Stuttgart,DE,49.0,1779067146,No
Aura Escort Frankfurt,Lyoner Straße 14,60528,Frankfurt am Main,DE,49.0,1523059493,No
"Fredls Fahrschule, Inh. Alfred Riegg",Hauptstraße 98,82383,Hohenpeißenberg,DE,49.0,1607461289,Yes
"Fahrschule und Ferienfahrschule A. Stern e. K., Inh. Günter Gaaß",Bahnhofstraße 48,94469,Deggendorf,DE,49.0,1526915913,No
"Führerscheinschmiede, Inh. Udo Klaskala",Wittener Straße 60,44789,Bochum,DE,49.0,425050001068,Yes
Fahrschule GEFA,Klöcknerstraße 2,49124,Georgsmarienhütte,DE,49.0,1707541218,No
Fahrschule Abendroth,Kaiserstr. 209,76133,Karlsruhe,DE,49.0,93600179,No
Fahrschule Schneider GbR,Hausacherstr. 10,78054,Villingen-Schwenningen,DE,49.0,1520135893,Yes
"Fahrschule Mandt, Inhaberin: Frau Christiane Mandt",Moltkestr. 47,47058,Duisburg,DE,49.0,1724245872,Yes
Fahrschule Rösgen,Berger Straße 147,51145,Köln-Porz,DE,49.0,1752163977,No
Friseur Haarvariante,Grote Gert 25,47495,Rheinberg,DE,49.0,1775227795,No
CUT AND STYLE by Daniela UG,Feldstraße 7,16761,Hennigsdorf,DE,49.0,1705016678,Yes
Prenzl´berger Friseure,Stubbenkammerstraße 4,10437,Berlin,DE,49.0,1773478809,No
"Kopfsache - Der Friseur, Inhaberin: Melanie Eggers",Ulzburger Str. 561,22844,Norderstedt,DE,49.0,1708760140,Yes
"NeoDerm, Inhaber: Benjamin Bucher",Kolomanstraße 22,73527,Schwäbisch Gmünd/ Wetzgau,DE,49.0,8895892178,No
"Jungeblut & Friends, Inhaber: Lisa-Marie Jungeblut",Nöttenstr. 14,59494,Soest,DE,49.0,14491703871872,Yes
"Perfect Hair Friseursalon, Inh. Frank Schäffler",Würzburger Str. 44,97261,Güntersleben,DE,49.0,1759539472,Yes
"Praxis für Podologie, Inh. Anke Schmitz",Hainstraße 15,42109,Wuppertal,DE,49.0,6797044172,No
Bausachverständiger Frank Obermann,Steinmetzstraße 75,45476,Mülheim an der Ruhr,DE,49.0,1730956702,Yes
BUG Büro für Umweltschutz und Geotechnik Dipl.-Geol. Achim von Hein,Zum Kohlwaldfeld 19a,65817,Eppstein,DE,49.0,17000700170013979763,Yes
JMS-Facility-Management,Anton-Ulrichstr. 6,98617,Meiningen,DE,49.0,1781178209,No
Gesellschaft für Abgastechnik mbH,Dieselstr. 44,63165,Mühlheim,DE,49.0,1707113158,No
Gunter Thomas Kanalservice & Hausmeisterdienste,Kreuzgasse 5,7743,Jena,DE,49.0,1453386160,No
HMS Hausmeister-Service Roland Bertuleit e.K.,Zeppelinstr. 1,73760,Ostfildern (Kemnat),DE,49.0,1762969471,No
Arigato Reinhard-Schneider,Nieder-Saulheimer-Str. 19,55291,Saulheim,DE,49.0,1758262851,No
"Dittrich Treppenhausreinigung Blitz Blank, Inhaberin: Nadine Dittrich",Hörnstraße 21,25370,Seester b. Elmshorn,DE,49.0,1700762653,No
Bibi Hausmeisterservice | Inhaber: Azem Bibic,Jagdweg 19,1159,Dresden,DE,49.0,1768832877,No
"RG Dienstleistungen, Inh. Gerd Rheiner",Donnersbergstraße 4,86916,Kaufering,DE,49.0,1705843585,No
RUDI® GmbH,Erfurter Straße 21,99734,Nordhausen,DE,49.0,1721503704,Yes
Eberhard Vogel,Rudolf-Virchow-Str. 22,18435,Stralsund,DE,49.0,1788025283,No
Hundeschule Rösler,Siefenfeldchen 136,53332,Bornheim Roisdorf,DE,49.0,6478593174,No
Hundehalterschule | Inhaberin: Anette Knobloch,Haus Alsbach 2,51766,Engelskirchen,DE,49.0,1784059639,Yes
Dog’s College - Birgitta K. Edelmann,Gartenstraße 83,72108,Rottenburg,DE,49.0,1793656891,Yes
"Hundeschule Pfotenteam, Inh. Andrea Dieckmann",Hornstr. 7,45964,Gladbeck,DE,49.0,1608711346,No
Mapefratz,Waldstr. 37,4105,Leipzig,DE,49.0,1709077958,Yes
"Kita Krabbelkäfer, Maria Thanou-Schmitten & Wolfgang Schmitten",Aachener Straße 165,40223,Düsseldorf,DE,49.0,1739343320,Yes
"Kindertagespflege Bienenkörbchen, Inh. Dagmar Henze",Mühlenstraße 70,46047,Oberhausen,DE,49.0,17238812430049,Yes
Kinderstube Leubnitz,Kolonie 20,8412,Werdau/OT Leubnitz,DE,49.0,1735083840,No
Kindergruppe Purzelbaum e.V.,Wermelingstraße 21-23,48147,Münster,DE,49.0,1724061207,Yes
GastroMaps.at,Keltenweg 1,7082,Donnerskirchen,DE,49.0,11776240394,Yes
J. Blumberg KG,Drechslerweg 55,33659,Bielefeld,DE,49.0,7218755170,No
Vanedler UG (haftungsbeschränkt),Regensburger Allee 10,86399,Bobingen,DE,49.0,17837736400142,Yes
bitPlus GmbH,Goldberg 12,85567,Grafing,DE,49.0,1730290312,No
terZia Personal-Service GmbH,Sophienstraße 58,99817,Eisenach,DE,49.0,1786285616,No
Jobfair GmbH,Werderstraße 20,68165,Mannheim,DE,49.0,1709113686,No
"Die Kanalprofis, Inh.: Roland Strebhardt",Beskidenring 2,86633,Neuburg an der Donau,DE,49.0,1781182919,No
CLEANCOLD Trockeneisreinigung,Schulstraße 49,9356,St. Egidien,DE,49.0,1795288155,No
Clean Optimal GmbH,Korntaler Landstraße 84,70499,Stuttgart,DE,49.0,1001276941363349,Yes
"ARK Service Michael Schenk e.K., Inhaber: Herr Michael Schenk",Finkenstr. 8,83101,Rohrdorf,DE,49.0,1780603628,Yes
KEBOS Technical Services GmbH,Riesenfeldstr. 116,80809,München,DE,49.0,1600094041,No
Böhm Gebäudereinigung GmbH,Alter Mühlberg 15,8289,Schneeberg,DE,49.0,1527996580,No
"Main-Kinzig Kanal- und Rohrreinigungsservice, Inh. Klaus Dieter Wendler e.K",Hanauer Landstr. 54,63571,Gelnhausen,DE,49.0,176052840349,Yes
"Schädlingsbekämpfung Piepenbrink, Inh. Dirk Piepenbrink",Winzerather Str. 1,41516,Grevenbroich,DE,49.0,1735918466,No
Aktuell-Schlossnotdienst Sicherheitstechnik K.Klose e.K.,An der Johanniskirche 10,30629,Hannover,DE,49.0,1751961991,Yes
Hauptsächlich Leinen Constanze von Papen,Gutzkowstraße 4,10827,Berlin,DE,49.0,1757673885,No
Näherei Hähnlein,Am Bahnhof 20c,96523,Steinach,DE,49.0,1701362433,No
Nähzimmer Inh. Olga Naumann,Husumer Str. 31,24941,Flensburg,DE,49.0,1706598588,No
UBS Universal Brandschutz Service GmbH,Wanslebener Weg 9a,6179,Teutschenthal,DE,49.0,16015691720049,Yes
